,OBJECTID,EMPRESA,NOMBRE,TENSION_NO,ESTACION,POTENCIA_N,NUMERO_TRA,geometry
168,579.0,HIDROELECTRICA SANTA CRUZ,SANTA CRUZ I,60.0,S.E. SANTA CRUZ 1,16.0,2.0,POINT (-77.84504716599997 -8.921049778999986)
169,580.0,FENIX POWERS,FENIX,500.0,S.E. FENIX,635.0,3.0,POINT (-76.73436952399999 -12.542884467000022)
170,581.0,REP,OLLEROS,500.0,S.E. OLLEROS,230.0,1.0,POINT (-76.71614229199997 -12.495045732999984)
171,582.0,ENERSUR,CHILCA 1,220.0,S.E. CHILCA CTM,956.0,4.0,POINT (-76.72773513200002 -12.503439719000028)
172,583.0,,LOMERA,220.0,S.E. LOMERA,50.0,1.0,POINT (-77.27468671899999 -11.433394410000005)
173,584.0,ENERGIA EOLICA,CUPISNIQUE,220.0,S.E. CUPISNIQUE,150.0,2.0,POINT (-79.43841834400001 -7.556851043999984)
174,585.0,EDEGEL,MATUCANA,220.0,S.E. MATUCANA,160.0,1.0,POINT (-76.45637299999999 -11.885739999999998)
175,586.0,SHOUGESA,MINA SHOUGANG,60.0,S.E. MINA SHOUGANG,25.0,1.0,POINT (-75.156514846 -15.228266808)
176,587.0,EDELNOR,SUPE,60.0,S.E. SUPE,42.0,2.0,POINT (-77.74084826199999 -10.794671853000011)
177,588.0,MAPLE,MAPLE ETANOL,60.0,S.E. PLANTA ETANOL,40.0,1.0,POINT (-80.715410889 -5.165271887000017)
178,589.0,PARQUE EOLICO MARCONA,TRES HERMANAS,220.0,S.E. TRES HERMANAS,144.0,2.0,POINT (-75.10258792899998 -15.388099098999987)
179,590.0,CERRO VERDE,CERRO VERDE,138.0,S.E. CERRO VERDE,0.0,0.0,POINT (-71.59067412299999 -16.518519516000026)
180,591.0,CERRO VERDE,HIDROMETALURGIA,138.0,S.E. HIDROMETALURGICA,91.60000000000001,3.0,POINT (-71.588278296 -16.520483134000017)
181,592.0,ELECTRICA RIO DOBLE,ESPINA COLORADA,138.0,S.E. ESPINA COLORADA,0.0,0.0,POINT (-79.07260409100002 -6.529286019999972)
182,593.0,ELECTROANDES,SAN MATEO,60.0,S.E. SAN MATEO,1.5,1.0,POINT (-76.29111468000002 -11.748733571999992)
183,594.0,LUZ DEL SUR,CHOSICA,60.0,S.E. CHOSICA,24.2,2.0,POINT (-76.68818599999997 -11.929626999999982)
184,595.0,LUZ DEL SUR,SANTA CLARA,60.0,S.E. SANTA CLARA,42.0,2.0,POINT (-76.884996 -12.01598899999999)
185,596.0,LUZ DEL SUR,ÑAÑA,60.0,S.E. NANA,25.0,1.0,POINT (-76.82052099100002 -11.989768158999993)
186,597.0,ELECTRODUNAS,SANTA MARGARITA,60.0,S.E. SANTA MARGARITA,49.0,3.0,POINT (-75.703576779 -14.194748138000023)
187,598.0,ELECTRODUNAS,TACAMA,60.0,S.E. TACAMA,13.0,1.0,POINT (-75.72316999999998 -13.999420999999984)
188,599.0,ELECTRODUNAS,ICA NORTE,60.0,S.E. ICA NORTE,30.0,2.0,POINT (-75.749408458 -14.047238106999998)
189,600.0,ELECTRODUNAS,LUREN,60.0,S.E. LUREN,15.0,1.0,POINT (-75.71756448600001 -14.090311062000012)
190,601.0,ELECTRODUNAS,EL CARMEN,60.0,S.E. EL CARMEN,8.4,1.0,POINT (-76.10580078700002 -13.504727779999996)
191,602.0,ELECTRODUNAS,PEDREGAL,60.0,S.E. PEDREGAL,31.25,1.0,POINT (-76.13801000000001 -13.45058499999999)
192,603.0,ELECTRODUNAS,PUEBLO NUEVO,60.0,S.E. PUEBLO NUEVO,31.75,2.0,POINT (-76.12686200000002 -13.396378000000027)
193,604.0,HIDRANDINA,CHIMPOTE 2,138.0,S.E. CHIMBOTE2,120.0,2.0,POINT (-78.60063000000002 -9.063384999999982)
194,605.0,TRANSMANTARO,SOCABAYA,220.0,S.E. SOCABAYA,300.0,2.0,POINT (-71.51742280500002 -16.475451394999993)
195,606.0,SEAL,SOCABAYA,33.0,S.E. SOCABAYA1,25.0,1.0,POINT (-71.51759499999997 -16.474259000000018)
196,607.0,REDESUR,SOCABAYA,220.0,S.E. SOCABAYA,0.0,0.0,POINT (-71.51634699099998 -16.474864140000022)
197,608.0,ELECTROSUR,ILO,138.0,S.E. ILO,50.0,2.0,POINT (-71.309748738 -17.62908581800002)
198,609.0,SN POWER,YAUPI,138.0,S.E. YAUPI,125.0,2.0,POINT (-75.53570444500002 -10.739732468)
199,610.0,CONENHUA,INGENIO,60.0,S.E. INGENIO,13.0,1.0,POINT (-74.852045869 -12.972136058999979)
200,611.0,ELECTRONORESTE,TABLAZO,60.0,S.E. TABLAZO,0.0,0.0,POINT (-81.06169760199998 -5.0651157940000076)
201,612.0,SEAL,PAUCARPATA,33.0,S.E. PAUCARPATA,10.0,1.0,POINT (-71.519363 -16.435828000000015)
202,613.0,SEAL,REAL PLAZA,33.0,S.E. REAL PLAZA,10.0,1.0,POINT (-71.54958598299999 -16.38984842399998)
203,614.0,SEAL,SAN LAZARO,33.0,S.E. SAN LAZARO,20.0,1.0,POINT (-71.536631 -16.393107999999984)
204,615.0,ELECTRO ORIENTE,PONGO,60.0,S.E. PONGO,12.0,1.0,POINT (-76.27950231199998 -6.306846646999986)
205,616.0,ENERGIA EOLICA S.A,CAMPANA,220.0,S.E. CAMPANA,32.0,1.0,POINT (-81.180132319 -4.5888414890000035)
206,617.0,SEAL,SAN LUIS,33.0,S.E. SAN LUIS,10.0,1.0,POINT (-71.50170500000002 -16.368615999999975)
